ADMINISTRATIA PREZIDENTIALA,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"26,009"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"10,284"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"13,363"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"2,199"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,163
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"23,010"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"10,284"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"12,563"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,163
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,800
 , , 20  , TITLUL II BUNURI SI SERVICII  ,800
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","2,199"
 , , 01  , CHELTUIELI CURENTE  ,"2,199"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"2,199"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
