SENATUL ROMANIEI,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"85,140"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"69,090"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"15,035"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,900
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,10
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,5
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,100
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"85,135"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"69,090"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"15,035"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,900
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,10
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,100
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,5
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
