CAMERA DEPUTATILOR,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"198,291"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"142,316"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"48,269"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,250"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,200
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"6,256"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"198,091"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"142,316"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"48,269"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,250"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"6,256"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,200
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,200
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
