INALTA CURTE DE CASATIE SI,,,,
JUSTITIE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"61,110"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"54,528"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"5,870"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,28
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,184
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,500
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,100
 , , 20  , TITLUL II BUNURI SI SERVICII  ,100
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"60,826"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"54,528"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"5,770"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,28
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,500
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,184
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,184
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
