CURTEA CONSTITUTIONALA,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"15,260"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"11,886"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"2,707"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,17
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,350
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,300
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"14,910"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"11,886"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"2,707"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,17
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,300
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,350
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,350
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
