CONSILIUL LEGISLATIV,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"5,301"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"4,524"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,552
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,7
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,23
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,195
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"5,278"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"4,524"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,552
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,7
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,195
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,23
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,23
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
