CURTEA DE CONTURI,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"195,705"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"160,165"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"14,800"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,30
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"12,766"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"7,944"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"195,705"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"160,165"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"14,800"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,30
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"12,766"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"7,944"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
