CONSILIUL CONCURENTEI,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"63,646"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"34,362"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"3,933"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,53
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"24,600"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,698
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"63,646"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"34,362"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"3,933"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,53
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"24,600"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,698
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
