AVOCATUL POPORULUI,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"5,623"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"4,482"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,089"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,8
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,44
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"5,623"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"4,482"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,089"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,8
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,44
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
