CONSILIUL NATIONAL AL,,,,
AUDIOVIZUALULUI,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"8,451"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"7,273"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,128"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,10
 , , 59  , TITLUL X ALTE CHELTUIELI  ,3
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,37
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"8,451"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"7,273"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,128"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,10
 , , 59  , TITLUL X ALTE CHELTUIELI  ,3
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,37
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
