SECRETARIATUL GENERAL AL,,,,
GUVERNULUI,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"7,345,476"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"317,134"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"155,708"
 , , 30  , TITLUL III DOBANZI  ,"39,124"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"487,205"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,468,808"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,408,832"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"859,066"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"1,510,299"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"13,426"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"85,874"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"581,311"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"306,729"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"153,433"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"8,500"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"8,620"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"88,840"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,240
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"1,684"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"13,265"
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,"454,500"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"454,500"
 6501  , , , INVATAMANT  ,"2,101"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"2,101"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","416,526"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,574"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,740
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"11,926"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"402,225"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,61
 8001  , , ," ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA  ","72,874"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"8,831"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,535"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"62,408"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,100
 8201  , , ," INDUSTRIA EXTRACTIVA, PRELUCRATOARE SI CONSTRUCTII  ",800
 , , 30  , TITLUL III DOBANZI  ,100
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,700
 8401  , , , TRANSPORTURI  ,"5,817,364"
 , , 30  , TITLUL III DOBANZI  ,"39,024"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"466,779"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,460,188"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,257,584"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"1,508,615"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"85,174"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
