MINISTERUL AFACERILOR EXTERNE,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"564,842"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"286,671"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"166,871"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"5,430"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"71,654"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"13,728"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"10,230"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"10,258"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"512,703"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"270,337"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"153,884"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"2,834"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"61,464"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"13,728"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,230
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"10,226"
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,"9,000"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"9,000"
 6501  , , , INVATAMANT  ,"2,545"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"1,355"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,190"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","40,594"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"16,334"
,, 20  , TITLUL II BUNURI SI SERVICII  ,"12,987"
,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"1,241"
,, 59  , TITLUL X ALTE CHELTUIELI  ,"10,000"
,, 71  , TITLUL XII ACTIVE NEFINANCIARE  ,32
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
