MINISTERUL DEZVOLTARII,,,,
REGIONALE SI ADMINISTRATIEI PUBLICE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"2,179,910"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"130,740"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"25,803"
 , , 40  , TITLUL IV SUBVENTII  ,"126,000"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"583,077"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"86,218"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,130,411"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,300
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"11,183"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"86,178"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"210,451"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"130,740"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"25,803"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,470
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"52,538"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,300
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,600
 5301  , , , CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE  ,490
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,490
 7001  , , ," LOCUINTE, SERVICII SI DEZVOLTARE PUBLICA  ","890,838"
 , , 40  , TITLUL IV SUBVENTII  ,"126,000"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"583,077"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"85,000"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"11,183"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"85,578"
 8001  , , ," ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA  ","1,078,131"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,258
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,077,873"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
