MINISTERUL FINANTELOR PUBLICE,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"2,785,351"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,867,087"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"269,194"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,985
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"13,365"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"85,844"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"184,491"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"18,809"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"75,228"
 , , 72  , TITLUL XIII ACTIVE FINANCIARE  ,"270,348"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"2,311,835"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,867,087"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"252,959"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,985
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"13,032"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"85,844"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"16,700"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"75,228"
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,"471,407"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"16,235"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,333
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"184,491"
 , , 72  , TITLUL XIII ACTIVE FINANCIARE  ,"270,348"
 8701  , , , ALTE ACTIUNI ECONOMICE  ,"2,109"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"2,109"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
