MINISTERUL JUSTITIEI,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"2,301,551"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,293,332"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"157,539"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"780,119"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,877"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"14,448"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,186
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"19,050"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"35,000"
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,284
 , , 20  , TITLUL II BUNURI SI SERVICII  ,284
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"2,298,893"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,293,332"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"157,255"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"777,931"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,877"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"14,448"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"19,050"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"35,000"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"2,374"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"2,188"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,186
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
