MINISTERUL APARARII NATIONALE,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"5,194,905"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"3,909,976"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"591,907"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"181,209"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"116,032"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"80,092"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"4,254"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"311,435"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"1,784"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,454"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,178
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,2
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,150
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,"3,080"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,80
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"3,000"
 6001  , , , APARARE  ,"4,465,696"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"3,493,232"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"482,590"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"94,552"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"115,882"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,105
 , , 59  , TITLUL X ALTE CHELTUIELI  ,250
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"279,085"
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"332,701"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"265,231"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"37,280"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,26
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"30,164"
 6501  , , , INVATAMANT  ,"212,882"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"140,004"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"70,263"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,512
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"2,103"
 6601  , , , SANATATE  ,"54,024"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"9,417"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,196"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"43,328"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,83
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","42,369"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"42,369"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"81,365"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,638
 , , 20  , TITLUL II BUNURI SI SERVICII  ,320
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,932
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"79,475"
 8401  , , , TRANSPORTURI  ,"1,004"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"1,004"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
