MINISTERUL AFACERILOR INTERNE,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"7,972,817"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"6,962,379"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"394,854"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"85,494"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"7,179"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"168,993"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"62,794"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"6,285"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"4,122"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"280,717"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"117,102"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"80,903"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"18,513"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,50
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"16,088"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"1,185"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,363
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"7,426,357"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"6,798,215"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"337,757"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"50,216"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"7,129"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"149,905"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"4,200"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"4,122"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"74,813"
 6501  , , , INVATAMANT  ,"120,973"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"83,261"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"31,101"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"3,000"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,220
 , , 59  , TITLUL X ALTE CHELTUIELI  ,400
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"2,991"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","33,126"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"33,126"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"67,726"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"2,500"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"2,152"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"62,574"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,500
 8001  , , ," ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA  ","207,533"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"4,983"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"202,550"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
