"MINISTERUL MUNCII, FAMILIEI,",,,,
PROTECTIEI SOCIALE SI PERSOANELOR VARSTNICE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"30,440,524"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"214,176"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"175,736"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"16,034,136"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"4,672"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"325,646"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"13,572,736"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"30,600"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"78,726"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"3,746"
 , , 80  , TITLUL XV IMPRUMUTURI  ,350
 5601  , , , TRANSFERURI CU CARACTER GENERAL INTRE DIFERITE NIVELE ALE ADMINISTRATIEI  ,"13,519,277"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"13,519,277"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"16,921,247"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"214,176"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"175,736"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"2,514,859"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"4,672"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"325,646"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"13,572,736"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"30,600"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"78,726"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"3,746"
,, 80  , TITLUL XV IMPRUMUTURI  ,350
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
