MINISTERUL TINERETULUI SI,,,,
SPORTULUI,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"302,374"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"6,250"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"2,854"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"158,572"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"14,725"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"6,236"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"23,600"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"89,587"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,550
 6501  , , , INVATAMANT  ,"58,915"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"58,915"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","219,859"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"6,250"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"2,854"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"99,657"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"14,725"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"6,236"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"89,587"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,550
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"23,600"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"23,600"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
