MINISTERUL AGRICULTURII SI,,,,
DEZVOLTARII RURALE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"5,562,740"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"343,324"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"129,544"
 , , 30  , TITLUL III DOBANZI  ,600
 , , 40  , TITLUL IV SUBVENTII  ,"1,364,088"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"330,125"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"869,076"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,297,055"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,20
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"60,219"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"26,389"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"38,700"
 , , 80  , TITLUL XV IMPRUMUTURI  ,"100,000"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"3,600"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,20
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,20
 8001  , , ," ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA  ","7,547"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"7,547"
 8301  , , ," AGRICULTURA, SILVICULTURA, PISCICULTURA SI VANATOARE  ","5,526,551"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"343,324"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"129,544"
 , , 30  , TITLUL III DOBANZI  ,600
 , , 40  , TITLUL IV SUBVENTII  ,"1,364,088"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"301,503"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"861,529"
 ,, 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,297,055"
 ,, 59  , TITLUL X ALTE CHELTUIELI  ,"60,219"
 ,, 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"26,389"
 ,, 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"38,700"
 ,, 80  , TITLUL XV IMPRUMUTURI  ,"100,000"
 ,, 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"3,600"
 8601  ,, , CERCETARE SI DEZVOLTARE IN DOMENIUL ECONOMIC  ,"28,622"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"28,622"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
