MINISTERUL MEDIULUI SI,,,,
SCHIMBARILOR CLIMATICE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"2,084,271"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"149,731"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"100,281"
 , , 30  , TITLUL III DOBANZI  ,"10,300"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"36,610"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"72,504"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,463,136"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"3,256"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"108,552"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"93,401"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"46,500"
 7001  , , ," LOCUINTE, SERVICII SI DEZVOLTARE PUBLICA  ","349,583"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"7,000"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"5,000"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"200,000"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"97,552"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"40,031"
 7401  , , , PROTECTIA MEDIULUI  ,"1,613,472"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"130,910"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"38,206"
 , , 30  , TITLUL III DOBANZI  ,"10,300"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"36,610"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"43,004"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,256,986"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"2,756"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"48,200"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"46,500"
 8001  , , ," ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA  ","45,405"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"44,905"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,500
 8301  , , ," AGRICULTURA, SILVICULTURA, PISCICULTURA SI VANATOARE  ","75,811"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"18,821"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"10,170"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"24,000"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"6,150"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,500
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"11,000"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"5,170"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
