MINISTERUL TRANSPORTURILOR,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"7,291,157"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"22,649"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"9,281"
 , , 30  , TITLUL III DOBANZI  ,"52,185"
 , , 40  , TITLUL IV SUBVENTII  ,"1,598,415"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"916,406"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"599,696"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"3,386,376"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"100,000"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"29,398"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"289,406"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"3,149"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"284,196"
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,15
 , , 20  , TITLUL II BUNURI SI SERVICII  ,3
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,12
 6601  , , , SANATATE  ,"23,341"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"23,341"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","7,100"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"7,100"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"100,000"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"100,000"
 8401  ,, , TRANSPORTURI  ,"7,160,701"
 ,, 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"22,649"
 ,, 20  , TITLUL II BUNURI SI SERVICII  ,"9,278"
 ,, 30  , TITLUL III DOBANZI  ,"52,185"
 ,, 40  , TITLUL IV SUBVENTII  ,"1,598,415"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"885,965"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"599,696"
 ,, 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"3,386,376"
 ,, 59  , TITLUL X ALTE CHELTUIELI  ,"29,398"
 ,, 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"289,406"
 ,, 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"3,137"
 ,, 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"284,196"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
