MINISTERUL EDUCATIEI NATIONALE,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"5,298,804"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"304,640"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"99,620"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"2,020,633"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,150,421"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"843,784"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"299,998"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"433,741"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"50,000"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"95,967"
 5301  , , , CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE  ,"1,688,290"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"3,350"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"16,248"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,106,921"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"561,771"
 6501  , , , INVATAMANT  ,"3,527,734"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"304,640"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"96,070"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"1,964,905"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,400
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"282,013"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"299,998"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"433,741"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"50,000"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"95,967"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","39,680"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,200
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"39,480"
 7401  , , , PROTECTIA MEDIULUI  ,"43,100"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"43,100"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
