MINISTERUL SANATATII,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"7,226,673"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"573,269"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,090,688"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"5,438,101"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"12,000"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"21,400"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"49,215"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"42,000"
 5601  , , , TRANSFERURI CU CARACTER GENERAL INTRE DIFERITE NIVELE ALE ADMINISTRATIEI  ,"3,719,251"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"3,719,251"
 6601  , , , SANATATE  ,"2,528,922"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"573,269"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,090,688"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"740,350"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"12,000"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"21,400"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"49,215"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"42,000"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"978,500"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"978,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
