MINISTERUL CULTURII,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"546,064"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"14,163"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"28,395"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"339,670"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"27,400"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"7,000"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"18,564"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"110,000"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,872
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","546,064"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"14,163"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"28,395"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"339,670"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"27,400"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"7,000"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"18,564"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"110,000"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,872
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
