MINISTERUL PUBLIC,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"651,144"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"591,321"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"49,225"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"3,119"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"7,479"
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"651,144"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"591,321"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"49,225"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"3,119"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"7,479"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
