AGENTIA NATIONALA DE,,,,
INTEGRITATE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"27,195"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"8,122"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"9,320"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"9,253"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,500
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"27,195"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"8,122"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"9,320"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"9,253"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,500
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
