SERVICIUL ROMAN DE INFORMATII,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"1,031,598"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"848,327"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"135,810"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"26,197"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,295
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,211"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"6,183"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,75
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"12,500"
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"1,005,052"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"833,582"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"132,856"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"25,950"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,295
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"12,369"
 6501  , , , INVATAMANT  ,"20,162"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"14,745"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"2,950"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,211"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,50
 , , 59  , TITLUL X ALTE CHELTUIELI  ,75
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,131
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"6,384"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,4
,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,247
,, 57  , TITLUL IX ASISTENTA SOCIALA  ,"6,133"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
