SERVICIUL DE INFORMATII EXTERNE,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"182,615"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"124,385"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"50,397"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"1,033"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,700
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,600
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"5,500"
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"181,982"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"124,385"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"50,397"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"1,000"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,700
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"5,500"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,633
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,33
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,600
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
