SERVICIUL DE PROTECTIE SI PAZA,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"191,278"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"119,925"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"9,990"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,13
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,850
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"60,500"
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"190,465"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"119,925"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"9,990"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,50
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"60,500"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,813
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,13
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,800
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
