SERVICIUL DE TELECOMUNICATII,,,,
SPECIALE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"248,424"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"181,792"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"52,692"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,65
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"9,700"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"1,187"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"2,988"
 6101  , , , ORDINE PUBLICA SI SIGURANTA NATIONALA  ,"247,172"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"181,792"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"52,692"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"9,700"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"2,988"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"1,252"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,65
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"1,187"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
