ACADEMIA ROMANA,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"252,602"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"146,195"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"9,315"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"10,244"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,145
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"70,112"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,800
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"15,696"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,95
 5301  , , , CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE  ,"237,475"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"142,630"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"8,344"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,453
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,145
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"70,112"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"15,696"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,95
 6601  , , , SANATATE  ,"12,390"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"2,160"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,439
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"9,791"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","1,937"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,405"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,532
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,800
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,800
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
