SECRETARIATUL DE STAT PENTRU,,,,
PROBLEMELE REVOLUTIONARILOR DIN DECEMBRIE 1989,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"2,109"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,256"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,407
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,400
 , , 59  , TITLUL X ALTE CHELTUIELI  ,30
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,16
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"2,109"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,256"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,407
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,400
 , , 59  , TITLUL X ALTE CHELTUIELI  ,30
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,16
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
