OFICIUL NATIONAL DE PREVENIRE SI,,,,
COMBATEREA SPALARII BANILOR,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"14,787"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"9,157"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,865
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,22
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"4,710"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,33
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"14,787"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"9,157"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,865
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,22
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"4,710"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,33
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
