OFICIUL REGISTRULUI NATIONAL AL,,,,
INFORMATIILOR SECRETE DE STAT,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"9,427"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"6,592"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"2,251"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,520
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,64
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"9,427"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"6,592"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"2,251"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,520
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,64
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
