CONSILIUL NATIONAL PENTRU,,,,
COMBATEREA DISCRIMINARII,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"4,419"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"3,264"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,644
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,5
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,125
 , , 59  , TITLUL X ALTE CHELTUIELI  ,343
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,38
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"4,419"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"3,264"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,644
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,5
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,125
 , , 59  , TITLUL X ALTE CHELTUIELI  ,343
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,38
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
