CONSILIUL SUPERIOR AL,,,,
MAGISTRATURII,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"75,552"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"51,629"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"10,576"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,112
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,76
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,163"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"10,950"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,46
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"48,028"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"38,683"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"7,205"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,22
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,19
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"2,065"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,34
 6501  , , , INVATAMANT  ,"27,524"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"12,946"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"3,371"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,90
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,57
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,98
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"10,950"
,, 71  , TITLUL XII ACTIVE NEFINANCIARE  ,12
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
