AUTORITATEA ELECTORALA,,,,
PERMANENTA,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"14,368"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"6,369"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,484"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,5
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"6,422"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,88
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"7,946"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"6,369"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,484"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,5
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,88
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,"6,422"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"6,422"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
