CONSILIUL ECONOMIC SI SOCIAL,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"2,757"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,683"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,803
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,21
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,250
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"2,757"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"1,683"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,803
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,21
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,250
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
