CONSILIUL NATIONAL DE,,,,
SOLUTIONARE A CONTESTATIILOR,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"9,942"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"8,279"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,624"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,39
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"9,942"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"8,279"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,624"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,39
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
