MINISTERUL FONDURILOR,,,,
EUROPENE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"172,886"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"11,586"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,284"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"159,949"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,67
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"172,886"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"11,586"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,284"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"159,949"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,67
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
