MINISTERUL FINANTELOR PUBLICE ACTIUNI - GENERALE,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"23,454,577"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"412,573"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"56,788"
 , , 30  , TITLUL III DOBANZI  ,"10,277,941"
 , , 40  , TITLUL IV SUBVENTII  ,"151,110"
 , , 50  , TITLUL V FONDURI DE REZERVA  ,"207,000"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"128,543"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"7,600,517"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,007,330"
 , , 75  , TITLUL XIV - FONDUL NATIONAL DE DEZVOLTARE  ,"5,000"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"3,607,775"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"7,690,514"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"6,683,184"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,007,330"
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,"1,026,097"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"412,573"
 , , 50  , TITLUL V FONDURI DE REZERVA  ,"207,000"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"8,000"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"393,524"
 , , 75  , TITLUL XIV - FONDUL NATIONAL DE DEZVOLTARE  ,"5,000"
 5501  , , , TRANZACTII PRIVIND DATORIA PUBLICA SI IMPRUMUTURI  ,"14,063,047"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"56,788"
 , , 30  , TITLUL III DOBANZI  ,"10,277,941"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"120,543"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"3,607,775"
 8001  ,, ," ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA  ","674,919"
 ,, 40  , TITLUL IV SUBVENTII  ,"151,110"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"523,809"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
