TOTAL,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"116,359,340"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"19,556,298"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"4,347,558"
 , , 30  , TITLUL III DOBANZI  ,"10,386,775"
 , , 40  , TITLUL IV SUBVENTII  ,"3,496,299"
 , , 50  , TITLUL V FONDURI DE REZERVA  ,"207,000"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,28062685
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,12353711
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,14006804
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,14150208
 , , 59  , TITLUL X ALTE CHELTUIELI  ,1763880
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,2291599
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,1277056
 , , 72  , TITLUL XIII ACTIVE FINANCIARE ,"270,348"
 , , 75  , TITLUL XIV - FONDUL NATIONAL DE DEZVOLTARE  ,"5,000"
 , , 80  , TITLUL XV IMPRUMUTURI  ,"100,350"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"4,083,769"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"12,928,828"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"3,316,715"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"776,990"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"13,243"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"6,774,957"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"1,890,728"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"2,571"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"18,384"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"135,240"
 5301  , , , CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE  ,"1,927,965"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"142,630"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"11,694"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"16,701"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,109,266"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"631,883"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"15,696"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,95
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,"1,971,716"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"412,573"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"17,502"
 , , 50  , TITLUL V FONDURI DE REZERVA  ,"207,000"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"8,000"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"402,857"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"648,413"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,23
 , , 72  , TITLUL XIII ACTIVE FINANCIARE ,"270,348"
 , , 75  , TITLUL XIV - FONDUL NATIONAL DE DEZVOLTARE  ,"5,000"
