idinstitutie,idparinte,sectiune,an,numeinstitutie,denumireindicator,suma
1,0,5001,2013,Administratia Prezidentiala,CHELTUIELI - BUGET DE STAT,26009
1,1,500101,2013,Administratia Prezidentiala,CHELTUIELI CURENTE,25846
1,1,500110,2013,Administratia Prezidentiala,TITLUL I CHELTUIELI DE PERSONAL,10284
1,1,500120,2013,Administratia Prezidentiala,TITLUL II BUNURI SI SERVICII,13363
1,1,500151,2013,Administratia Prezidentiala,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,2199
1,1,500170,2013,Administratia Prezidentiala,CHELTUIELI DE CAPITAL,163
1,1,500171,2013,Administratia Prezidentiala,TITLUL XII ACTIVE NEFINANCIARE,163
1,1,5101,2013,Administratia Prezidentiala,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,23010
1,1,510101,2013,Administratia Prezidentiala,CHELTUIELI CURENTE,22847
1,1,510110,2013,Administratia Prezidentiala,TITLUL I CHELTUIELI DE PERSONAL,10284
1,1,510120,2013,Administratia Prezidentiala,TITLUL II BUNURI SI SERVICII,12563
1,1,510170,2013,Administratia Prezidentiala,CHELTUIELI DE CAPITAL,163
1,1,510171,2013,Administratia Prezidentiala,TITLUL XII ACTIVE NEFINANCIARE,163
1,1,5401,2013,Administratia Prezidentiala,ALTE SERVICII PUBLICE GENERALE,800
1,1,540101,2013,Administratia Prezidentiala,CHELTUIELI CURENTE,800
1,1,540120,2013,Administratia Prezidentiala,TITLUL II BUNURI SI SERVICII,800
1,1,6701,2013,Administratia Prezidentiala,"CULTURA, RECREERE SI RELIGIE",2199
1,1,670101,2013,Administratia Prezidentiala,CHELTUIELI CURENTE,2199
1,1,670151,2013,Administratia Prezidentiala,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,2199
2,0,5001,2013,Senatul Romaniei,CHELTUIELI - BUGET DE STAT,85140
2,2,500101,2013,Senatul Romaniei,CHELTUIELI CURENTE,85040
